"","TradeDate","Expiry","SpotIn","SpotOut","PutStrike","CallStrike","PutPremiumIn","CallPremiumIn","PutPremiumOut","CallPremiumOut","PnL"
"1",2018-03-29,2018-03-29,2641.6,2641.6,2510,2774,0.03,0.03,0.03,NA,0
"2",2018-06-29,2018-06-29,2718.03,NA,2582,2854,0.02,0.03,NA,NA,NA
"3",2018-09-28,2018-09-28,2914.09,NA,2768,3060,0.03,0.03,NA,0.03,NA
"4",2018-12-31,2018-12-31,2506.71,NA,2381,2632,0.03,0.02,NA,NA,NA
"5",2019-03-29,2019-03-29,2834.87,NA,2693,2977,0.02,0.03,NA,NA,NA
"6",2019-06-28,2019-06-28,2940.92,NA,2794,3088,0.03,0.03,NA,NA,NA
"7",2019-09-30,2019-09-30,2976.62,NA,2828,3125,0.03,0.03,NA,0.03,NA
"8",2019-12-31,2019-12-31,3229.7,NA,3068,3391,0.03,0.03,NA,NA,NA
"9",2020-03-31,2020-03-31,2584.64,2584.64,2455,2714,0.07,0.03,0.07,NA,-5
"10",2020-06-30,2020-06-30,3098.66,NA,2944,3254,0.03,0.03,NA,NA,NA
"11",2020-09-30,2020-09-30,3361.37,NA,3193,3529,0.02,0.03,NA,NA,NA
"12",2020-12-31,2020-12-31,3756.31,NA,3568,3944,0.03,0.05,NA,NA,NA
"13",2021-03-31,2021-03-31,3973.61,3973.61,3775,4172,0.03,0.03,0.03,NA,0
"14",2021-06-30,2021-06-30,4297.32,NA,4082,4512,0.03,0.03,NA,NA,NA
"15",2021-09-30,2021-09-30,4306.53,NA,4091,4522,0.02,0.03,NA,NA,NA
"16",2021-12-31,2021-12-31,4766.39,NA,4528,5005,0.03,0.03,NA,0.03,NA
"17",2022-03-31,2022-03-31,4532.3,NA,4306,4759,0.03,0.03,NA,NA,NA
"18",2022-06-30,2022-06-30,3789.1,3789.1,3600,3979,0.03,0.03,0.03,NA,0
"19",2022-09-30,2022-09-30,3589.7,3589.7,3410,3769,0.05,0.05,0.05,NA,0
"20",2022-12-30,2022-12-30,3839.81,NA,3648,4032,0.03,0.03,NA,NA,NA
"21",2023-03-31,2023-03-31,4109.88,NA,3904,4315,0.03,0.03,NA,0.03,NA
"22",2023-06-30,2023-06-30,4450.23,NA,4228,4673,0.03,0.03,NA,NA,NA
"23",2023-09-29,2023-09-29,4286.6,NA,4072,4501,0.03,0.03,NA,NA,NA
"24",2023-12-29,2023-12-29,4772.17,NA,4534,5011,0.03,0.03,NA,NA,NA
